x,y,val-esp
-5.0,4.0,8.0
-5.0,3.0,-9.5
4.0,4.0,36.8
-3.0,-3.0,-12.899999999999999
-5.0,4.0,8.0
-3.0,-3.0,-12.899999999999999
-4.0,-4.0,-36.8
-3.0,-1.0,-1.9000000000000004
5.0,0.0,20.0
1.0,2.0,1.2000000000000002
4.0,-3.0,-1.6999999999999993
-2.0,-3.0,-10.1
2.0,2.0,1.5999999999999996
-1.0,-2.0,-1.2000000000000002
3.0,3.0,12.899999999999999
2.0,-1.0,0.10000000000000009
-1.0,0.0,0.8
5.0,3.0,30.5
1.0,-4.0,-28.8
0.0,0.0,0.0
5.0,-3.0,9.5
4.0,5.0,66.3
-2.0,1.0,-0.10000000000000009
0.0,-3.0,-10.5
-5.0,3.0,-9.5
5.0,5.0,77.5
-3.0,0.0,-2.4000000000000004
-5.0,-5.0,-77.5
-3.0,-2.0,-4.4
0.0,1.0,-0.5
3.0,0.0,2.4000000000000004
-2.0,3.0,10.9
-2.0,2.0,2.4
-5.0,3.0,-9.5
5.0,-1.0,20.5
4.0,-2.0,6.800000000000001
-1.0,-2.0,-1.2000000000000002
-3.0,-2.0,-4.4
4.0,3.0,19.3
-4.0,0.0,-8.8
3.0,0.0,2.4000000000000004
2.0,-3.0,-10.9
1.0,-2.0,-2.8
-2.0,4.0,28.4
-4.0,-4.0,-36.8
-1.0,0.0,0.8
5.0,3.0,30.5
1.0,2.0,1.2000000000000002
3.0,-4.0,-25.6
-3.0,3.0,8.1
-3.0,2.0,-0.40000000000000036
2.0,4.0,27.6
2.0,-3.0,-10.9
4.0,4.0,36.8
3.0,-4.0,-25.6
-1.0,-5.0,-56.7
5.0,1.0,19.5
-2.0,-5.0,-57.099999999999994
-5.0,0.0,-20.0
5.0,2.0,22.0
-5.0,4.0,8.0
