x,y,val-esp
2.0,0.0,8.0
2.0,5.0,15.5
3.0,0.0,54.0
-4.0,3.0,321.5
2.0,-3.0,15.5
1.0,1.0,-0.5
-5.0,-5.0,767.5
4.0,4.0,196.0
-2.0,-4.0,36.0
5.0,0.0,500.0
3.0,5.0,61.5
-3.0,-1.0,109.5
2.0,-1.0,9.5
1.0,2.0,0.0
-1.0,0.0,2.0
-1.0,1.0,1.5
-2.0,-4.0,36.0
-5.0,-1.0,751.5
0.0,-2.0,4.0
0.0,-2.0,4.0
-2.0,-3.0,31.5
-4.0,-1.0,321.5
-4.0,0.0,320.0
5.0,4.0,504.0
-2.0,-5.0,41.5
2.0,0.0,8.0
5.0,-3.0,507.5
-3.0,4.0,112.0
-3.0,3.0,109.5
0.0,4.0,4.0
2.0,0.0,8.0
-5.0,-3.0,757.5
-2.0,1.0,23.5
0.0,-1.0,1.5
-3.0,-5.0,125.5
-1.0,4.0,6.0
-1.0,2.0,2.0
-5.0,-3.0,757.5
1.0,4.0,4.0
-5.0,3.0,751.5
-2.0,5.0,31.5
-4.0,-1.0,321.5
-2.0,-1.0,25.5
1.0,5.0,7.5
-2.0,2.0,24.0
-3.0,0.0,108.0
-1.0,-5.0,19.5
0.0,-4.0,12.0
2.0,4.0,12.0
-3.0,-1.0,109.5
4.0,-2.0,196.0
-5.0,-3.0,757.5
2.0,-3.0,15.5
-1.0,-4.0,14.0
-3.0,-3.0,115.5
-2.0,-2.0,28.0
4.0,0.0,192.0
4.0,-3.0,199.5
5.0,3.0,501.5
3.0,-3.0,61.5
-3.0,3.0,109.5
-3.0,-1.0,109.5
-4.0,2.0,320.0
0.0,-3.0,7.5
-2.0,-5.0,41.5
-1.0,4.0,6.0
2.0,-2.0,12.0
-5.0,-3.0,757.5
3.0,3.0,55.5
-1.0,0.0,2.0
5.0,3.0,501.5
-3.0,2.0,108.0
1.0,-4.0,12.0
5.0,0.0,500.0
5.0,-5.0,517.5
3.0,3.0,55.5
0.0,5.0,7.5
1.0,1.0,-0.5
-5.0,-1.0,751.5
0.0,-3.0,7.5
-5.0,3.0,751.5
1.0,1.0,-0.5
-5.0,-1.0,751.5
-4.0,-4.0,332.0
-1.0,-3.0,9.5
-3.0,2.0,108.0
2.0,-5.0,25.5
5.0,0.0,500.0
-4.0,3.0,321.5
0.0,3.0,1.5
-5.0,-2.0,754.0
-1.0,-5.0,19.5
-2.0,1.0,23.5
-3.0,-2.0,112.0
-2.0,-5.0,41.5
1.0,1.0,-0.5
1.0,5.0,7.5
0.0,-1.0,1.5
-4.0,2.0,320.0
1.0,5.0,7.5
3.0,5.0,61.5
-1.0,-4.0,14.0
5.0,0.0,500.0
0.0,0.0,0.0
-3.0,3.0,109.5
4.0,-4.0,204.0
-1.0,1.0,1.5
-1.0,-4.0,14.0
5.0,5.0,507.5
-4.0,5.0,327.5
-1.0,3.0,3.5
3.0,-5.0,71.5
1.0,-4.0,12.0
2.0,-4.0,20.0
-4.0,-2.0,324.0
-4.0,-5.0,337.5
-2.0,2.0,24.0
-3.0,0.0,108.0
4.0,0.0,192.0
-1.0,2.0,2.0
5.0,2.0,500.0
2.0,1.0,7.5
4.0,1.0,191.5
0.0,4.0,4.0
3.0,4.0,58.0
0.0,-1.0,1.5
-2.0,2.0,24.0
-2.0,3.0,25.5
4.0,4.0,196.0
1.0,-4.0,12.0
3.0,1.0,53.5
-5.0,-2.0,754.0
-4.0,2.0,320.0
-2.0,4.0,28.0
2.0,-1.0,9.5
-1.0,0.0,2.0
0.0,0.0,0.0
2.0,-3.0,15.5
5.0,3.0,501.5
-1.0,-5.0,19.5
1.0,4.0,4.0
