x,y,val-esp
3,5,59.900000000000006
4,-4,-19.2
4,3,19.3
-5,-4,-48.0
-5,-3,-30.5
2,1,-0.8999999999999999
0,-2,-2.0
-5,-4,-48.0
1,2,1.2000000000000002
-1,-1,1.3
-1,-4,-27.200000000000003
-5,-3,-30.5
-2,1,-0.10000000000000009
5,-1,20.5
-1,1,0.30000000000000004
-5,-1,-19.5
3,4,30.4
2,-5,-57.9
5,-2,18.0
4,4,36.8
-5,3,-9.5
5,5,77.5
4,5,66.3
5,-2,18.0
-5,-4,-48.0
1,2,1.2000000000000002
2,1,-0.8999999999999999
0,-4,-28.0
-3,-2,-4.4
-4,-5,-66.3
-1,-2,-1.2000000000000002
-4,5,48.7
-2,-5,-57.099999999999994
5,-4,-8.0
1,5,56.7
1,1,-1.3
-1,0,0.8
-3,-2,-4.4
3,-3,-8.1
5,2,22.0
-3,-5,-59.900000000000006
-4,3,1.6999999999999993
0,1,-0.5
-4,0,-8.8
-4,-5,-66.3
5,1,19.5
1,4,27.200000000000003
3,0,2.4000000000000004
-2,4,28.4
1,-3,-11.3
