a,b,c,d,e,val-esp
2.0,4.0,-3.0,-3.0,4.0,15.170000000000002
1.0,-2.0,5.0,0.0,-3.0,-5.41
-2.0,-1.0,1.0,1.0,-4.0,-0.8366666666666669
5.0,1.0,-2.0,1.0,1.0,-11.616666666666667
-5.0,-4.0,-3.0,1.0,1.0,3.083333333333334
0.0,-4.0,-3.0,-1.0,-2.0,-2.47
0.0,0.0,-2.0,0.0,-2.0,-5.41
3.0,-3.0,-4.0,-2.0,-3.0,12.883333333333333
-2.0,-4.0,-1.0,4.0,1.0,28.563333333333336
1.0,1.0,-5.0,-5.0,-2.0,41.95666666666666
-2.0,-2.0,-1.0,3.0,-1.0,17.13
-1.0,1.0,4.0,2.0,0.0,5.043333333333333
5.0,0.0,4.0,-3.0,-3.0,33.790000000000006
4.0,5.0,1.0,4.0,3.0,1.123333333333333
2.0,-5.0,-5.0,-1.0,-3.0,1.123333333333333
2.0,4.0,1.0,4.0,-2.0,12.883333333333333
-4.0,0.0,-2.0,2.0,-1.0,14.190000000000001
1.0,1.0,-2.0,3.0,-4.0,5.370000000000001
-4.0,-4.0,1.0,2.0,1.0,11.576666666666668
4.0,-2.0,5.0,3.0,-2.0,-12.27
-5.0,3.0,1.0,1.0,-5.0,5.369999999999999
-5.0,-5.0,-2.0,2.0,1.0,14.190000000000001
-2.0,-5.0,5.0,-2.0,-4.0,-2.1433333333333335
0.0,-1.0,0.0,5.0,2.0,33.78999999999999
-3.0,-2.0,-4.0,3.0,5.0,22.03
1.0,2.0,-4.0,2.0,-5.0,-0.8366666666666669
-1.0,-3.0,0.0,0.0,2.0,-5.41
1.0,2.0,-5.0,5.0,3.0,30.523333333333337
-3.0,-3.0,-5.0,1.0,1.0,0.14333333333333353
-3.0,5.0,2.0,4.0,3.0,46.85666666666667
1.0,5.0,1.0,-1.0,5.0,-3.776666666666667
5.0,-3.0,1.0,-4.0,-4.0,57.31
-5.0,4.0,-1.0,-5.0,3.0,-11.943333333333333
-1.0,1.0,3.0,4.0,2.0,28.563333333333336
-2.0,-4.0,-4.0,-5.0,4.0,25.623333333333335
-1.0,1.0,-2.0,-5.0,-4.0,25.623333333333335
