x,y,z,p,i,j,s,val-esp
0.6,1.0,6.0,1000.0,6.0,1.156,5.585.053.606.381.850,74.928
0.6,1.0,6.0,1000.0,6.0,1.1688,6.981.317.007.977.310,78.976
0.6,1.0,6.0,1000.0,6.0,1.1809,8.377.580.409.572.780,82.147
0.6,1.0,6.0,1000.0,6.0,1.1922,9.773.843.811.168.240,84.729
0.6,1.0,6.0,1000.0,6.0,1.2029,1.117.010.721.276.370,87.062
0.6,1.0,6.0,1000.0,6.0,59.271,12.566.370.614.359.100,31.488
0.6,1.0,6.0,1000.0,6.0,1.2131,13.962.634.015.954.600,87.588
0.6,1.0,6.0,1000.0,6.0,82.083,153.588.974.175.501,67.859
0.6,1.0,6.0,1000.0,6.0,97.332,698.131.700.797.731,17.008
0.6,1.0,6.0,1000.0,6.0,99.494,2.094.395.102.393.190,24.535
0.6,1.0,6.0,1000.0,6.0,1.0151,3.490.658.503.988.650,30.127
0.6,1.0,6.0,1000.0,6.0,1.0373,4.886.921.905.584.120,35.066
0.6,1.0,6.0,1000.0,6.0,1.0603,6.283.185.307.179.580,39.587
0.2,0.2,10.0,1000.0,10.0,14.412,10.471.975.511.965.900,"1,43E-01"
0.2,0.2,10.0,1000.0,10.0,98.357,11.868.238.913.561.400,1.007
0.2,0.2,10.0,1000.0,10.0,99.207,13.264.502.315.156.900,11.869
0.2,0.2,10.0,1000.0,10.0,1.2006,14.660.765.716.752.300,13.565
0.2,0.2,10.0,1000.0,10.0,1.0154,0.0,22.373
0.2,0.2,10.0,1000.0,10.0,1.0231,1.396.263.401.595.460,53.526
0.2,0.2,10.0,1000.0,10.0,1.0307,2.792.526.803.190.920,75.191
0.2,0.2,10.0,1000.0,10.0,1.0382,418.879.020.478.639,99.815
0.2,0.2,10.0,1000.0,10.0,1.0454,5.585.053.606.381.850,12.875
0.2,0.2,10.0,1000.0,10.0,1.0525,6.981.317.007.977.310,1.623
0.2,0.2,10.0,1000.0,10.0,28.675,8.377.580.409.572.780,"4,51E-01"
0.2,0.2,10.0,1000.0,10.0,1.0592,9.773.843.811.168.240,21.362
0.2,0.2,10.0,1000.0,10.0,4.266,1.117.010.721.276.370,11.762
0.2,0.2,10.0,1000.0,10.0,56.189,12.566.370.614.359.100,22
0.2,0.2,10.0,1000.0,10.0,6.911,13.962.634.015.954.600,3.512
0.2,0.2,10.0,1000.0,10.0,804,153.588.974.175.501,49.522
0.2,0.2,10.0,1000.0,10.0,94.317,698.131.700.797.731,22.037
0.2,0.2,10.0,1000.0,10.0,97.507,2.094.395.102.393.190,35.188
0.8,0.2,10.0,100.0,40.0,78.424,14.660.765.716.752.300,48.236
0.8,0.2,10.0,100.0,40.0,68.212,0.0,79.436
0.8,0.2,10.0,100.0,40.0,72.093,1.396.263.401.595.460,25.963
0.8,0.2,10.0,100.0,40.0,75.628,2.792.526.803.190.920,3.757
0.8,0.2,10.0,100.0,40.0,78.852,418.879.020.478.639,49.698
0.8,0.2,10.0,100.0,40.0,81.613,5.585.053.606.381.850,60.735
0.8,0.2,10.0,100.0,40.0,8.402,6.981.317.007.977.310,6.843
0.8,0.2,10.0,100.0,40.0,86.149,8.377.580.409.572.780,74.857
0.8,0.2,10.0,100.0,40.0,87.827,9.773.843.811.168.240,78.966
0.8,0.2,10.0,100.0,40.0,89.216,1.117.010.721.276.370,81.845
0.8,0.2,10.0,100.0,40.0,15.564,12.566.370.614.359.100,18.221
0.8,0.2,10.0,100.0,40.0,90.606,13.962.634.015.954.600,87.426
0.8,0.2,10.0,100.0,40.0,23.052,153.588.974.175.501,38.996
0.8,0.2,10.0,100.0,40.0,36.864,698.131.700.797.731,45.244
0.8,0.2,10.0,100.0,40.0,431,2.094.395.102.393.190,75.718
0.8,0.2,10.0,100.0,40.0,48.926,3.490.658.503.988.650,12.034
0.8,0.2,10.0,100.0,40.0,54.348,4.886.921.905.584.120,18.102
0.8,0.2,10.0,100.0,40.0,59.358,6.283.185.307.179.580,24.895
0.2,0.2,20.0,1000.0,10.0,13.162,3.490.658.503.988.650,"4,85E-02"
0.2,0.2,20.0,1000.0,10.0,97.839,4.886.921.905.584.120,53.532
0.2,0.2,20.0,1000.0,10.0,98.353,6.283.185.307.179.580,70.601
0.2,0.2,20.0,1000.0,10.0,98.811,767.944.870.877.505,89.864
0.2,0.2,20.0,1000.0,10.0,9.927,9.075.712.110.370.510,10.956
0.2,0.2,20.0,1000.0,10.0,99.654,10.471.975.511.965.900,12.873
0.2,0.2,20.0,1000.0,10.0,99.841,11.868.238.913.561.400,14.694
