x,y,val-esp
5,-5,-37.5
-5,-3,-30.5
2,3,10.1
-5,2,-18.0
1,-4,-28.8
-3,-4,-30.4
-4,5,48.7
-2,5,57.9
4,4,36.8
-5,-3,-30.5
-1,5,58.3
2,4,27.6
-3,3,8.1
-5,-2,-22.0
3,-3,-8.1
-3,4,25.6
-4,-4,-36.8
2,4,27.6
-1,-3,-9.7
4,-5,-48.7
4,3,19.3
-5,-5,-77.5
-1,5,58.3
3,-3,-8.1
-1,5,58.3
2,-2,-2.4
-5,5,37.5
-2,3,10.9
5,2,22.0
-5,4,8.0
3,4,30.4
-3,-2,-4.4
5,5,77.5
-4,-1,-8.3
5,-2,18.0
-3,-2,-4.4
-1,2,2.8
-4,4,19.2
2,-5,-57.9
2,3,10.1
1,-4,-28.8
4,-5,-48.7
5,-2,18.0
-5,-4,-48.0
4,2,10.8
-1,5,58.3
-5,-5,-77.5
-3,3,8.1
1,5,56.7
-2,-3,-10.1
-1,-5,-56.7
-2,-3,-10.1
4,2,10.8
-5,-4,-48.0
5,1,19.5
2,-4,-28.4
5,5,77.5
-3,5,55.1
-2,5,57.9
-1,3,11.3
1,-4,-28.8
-5,5,37.5
5,5,77.5
-1,2,2.8
-2,-4,-27.6
4,-1,9.3
4,1,8.3
5,-3,9.5
-3,-2,-4.4
-4,-2,-10.8
-3,3,8.1
5,-5,-37.5
-3,4,25.6
3,-3,-8.1
-5,-3,-30.5
-2,-3,-10.1
2,-3,-10.9
3,4,30.4
-1,-3,-9.7
-4,-4,-36.8
1,5,56.7
-5,-3,-30.5
1,3,9.7
5,4,48.0
4,5,66.3
-4,-3,-19.3
5,-3,9.5
-2,4,28.4
-2,3,10.9
5,5,77.5
3,-4,-25.6
4,3,19.3
2,4,27.6
-1,-1,1.3
4,-5,-48.7
-3,5,55.1
-1,-5,-56.7
-3,4,25.6
2,-4,-28.4
-4,-5,-66.3
-5,5,37.5
4,-1,9.3
-4,-5,-66.3
-2,-3,-10.1
5,-5,-37.5
2,-4,-28.4
-5,2,-18.0
-5,4,8.0
2,-2,-2.4
